Participant,Question,Scores
1,DEM1,Yes
1,DEM2,45-54 years old
1,ATTN,Yes
1,EXP1,Yes
1,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
1,EXP1A_4_TEXT,NA
1,EXP2,No
1,EXP3,No
1,OIRA1A,4
1,OIRA1B,The user was confused by the device's response
1,OIRA1B_4_TEXT,
1,OIRA2A,2
1,OIRA2B,The user did not understand the device
1,OIRA2B_4_TEXT,
1,OIRA3A,4
1,OIRA3B,The user was confused by the device's response
1,OIRA3B_4_TEXT,
1,OIRA4A,4
1,OIRA4B,The user was confused by the device's response
1,OIRA4B_4_TEXT,
1,OIRA5A,4
1,OIRA5B,The user did not understand the device
1,OIRA5B_4_TEXT,
1,OIRB1A,4
1,OIRB1B,The user was not able to hear the device
1,OIRB1B_4_TEXT,
1,OIRB2A,4
1,OIRB2B,The user was confused by the device's response
1,OIRB2B_4_TEXT,
1,OIRB3A,4
1,OIRB3B,The user was not able to hear the device
1,OIRB3B_4_TEXT,
1,OIRB4A,4
1,OIRB4B,The user was confused by the device's response
1,OIRB4B_4_TEXT,
1,OIRB5A,4
1,OIRB5B,The user was confused by the device's response
1,OIRB5B_4_TEXT,
1,RFCA1A,4
1,RFCA2A,2
1,RFCA3A,4
1,RFCA4A,4
1,RFCA5A,4
1,RFCB1A,2
1,RFCB2A,2
1,RFCB3A,3
1,RFCB4A,2
1,RFCB5A,3
1,RFCC1A,2
1,RFCC2A,3
1,RFCC3A,2
1,RFCC4A,4
1,RFCC5A,3
1,RFCD1A,3
1,RFCD2A,3
1,RFCD3A,4
1,RFCD4A,3
1,RFCD5A,4
1,FEEDBK,
2,DEM1,Yes
2,DEM2,25-34 years old
2,ATTN,Yes
2,EXP1,Yes
2,EXP1A,Mobile phone
2,EXP1A_4_TEXT,NA
2,EXP2,Yes
2,EXP3,Yes
2,OIRA1A,1
2,OIRA1B,The user did not understand the device
2,OIRA1B_4_TEXT,
2,OIRA2A,3
2,OIRA2B,The user was confused by the device's response
2,OIRA2B_4_TEXT,
2,OIRA3A,4
2,OIRA3B,The user was not able to hear the device
2,OIRA3B_4_TEXT,
2,OIRA4A,3
2,OIRA4B,The user was confused by the device's response
2,OIRA4B_4_TEXT,
2,OIRA5A,2
2,OIRA5B,The user was confused by the device's response
2,OIRA5B_4_TEXT,
2,OIRB1A,2
2,OIRB1B,The user was not able to hear the device
2,OIRB1B_4_TEXT,
2,OIRB2A,1
2,OIRB2B,The user was confused by the device's response
2,OIRB2B_4_TEXT,
2,OIRB3A,5
2,OIRB3B,The user did not understand the device
2,OIRB3B_4_TEXT,
2,OIRB4A,4
2,OIRB4B,The user was not able to hear the device
2,OIRB4B_4_TEXT,
2,OIRB5A,2
2,OIRB5B,The user did not understand the device
2,OIRB5B_4_TEXT,
2,RFCA1A,1
2,RFCA2A,4
2,RFCA3A,4
2,RFCA4A,2
2,RFCA5A,3
2,RFCB1A,1
2,RFCB2A,2
2,RFCB3A,1
2,RFCB4A,1
2,RFCB5A,2
2,RFCC1A,3
2,RFCC2A,2
2,RFCC3A,3
2,RFCC4A,1
2,RFCC5A,3
2,RFCD1A,3
2,RFCD2A,2
2,RFCD3A,3
2,RFCD4A,2
2,RFCD5A,2
2,FEEDBK,
3,DEM1,Yes
3,DEM2,55-64 years old
3,ATTN,Yes
3,EXP1,Yes
3,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
3,EXP1A_4_TEXT,NA
3,EXP2,No
3,EXP3,No
3,OIRA1A,2
3,OIRA1B,The user did not understand the device
3,OIRA1B_4_TEXT,
3,OIRA2A,3
3,OIRA2B,The user was confused by the device's response
3,OIRA2B_4_TEXT,
3,OIRA3A,3
3,OIRA3B,The user was confused by the device's response
3,OIRA3B_4_TEXT,
3,OIRA4A,4
3,OIRA4B,Other (if other, please describe):
3,OIRA4B_4_TEXT,No idea why the user said "huh"
3,OIRA5A,4
3,OIRA5B,The user was confused by the device's response
3,OIRA5B_4_TEXT,
3,OIRB1A,3
3,OIRB1B,The user did not understand the device
3,OIRB1B_4_TEXT,
3,OIRB2A,3
3,OIRB2B,Other (if other, please describe):
3,OIRB2B_4_TEXT,long winded response from the AI device and user was confused
3,OIRB3A,3
3,OIRB3B,The user was confused by the device's response
3,OIRB3B_4_TEXT,
3,OIRB4A,3
3,OIRB4B,Other (if other, please describe):
3,OIRB4B_4_TEXT,User seems to enjoy questioning the device?
3,OIRB5A,4
3,OIRB5B,The user did not understand the device
3,OIRB5B_4_TEXT,
3,RFCA1A,1
3,RFCA2A,1
3,RFCA3A,4
3,RFCA4A,4
3,RFCA5A,4
3,RFCB1A,2
3,RFCB2A,1
3,RFCB3A,2
3,RFCB4A,2
3,RFCB5A,3
3,RFCC1A,1
3,RFCC2A,1
3,RFCC3A,3
3,RFCC4A,3
3,RFCC5A,3
3,RFCD1A,1
3,RFCD2A,1
3,RFCD3A,2
3,RFCD4A,3
3,RFCD5A,1
3,FEEDBK,Some of the interactions are a bit ridiculous, a phone is a phone, not a human. AI going a bit too far really.
4,DEM1,Yes
4,DEM2,25-34 years old
4,ATTN,Yes
4,EXP1,Yes
4,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
4,EXP1A_4_TEXT,NA
4,EXP2,Yes
4,EXP3,No
4,OIRA1A,4
4,OIRA1B,The user was confused by the device's response
4,OIRA1B_4_TEXT,
4,OIRA2A,3
4,OIRA2B,The user did not understand the device
4,OIRA2B_4_TEXT,
4,OIRA3A,1
4,OIRA3B,Other (if other, please describe):
4,OIRA3B_4_TEXT,The device wasn’t clear enough, it needs to provide more information than just “a playlist”
4,OIRA4A,4
4,OIRA4B,The user was confused by the device's response
4,OIRA4B_4_TEXT,
4,OIRA5A,3
4,OIRA5B,The user did not understand the device
4,OIRA5B_4_TEXT,
4,OIRB1A,2
4,OIRB1B,Other (if other, please describe):
4,OIRB1B_4_TEXT,Again, device needs to be more clear about what it’s doing.
4,OIRB2A,4
4,OIRB2B,The user did not understand the device
4,OIRB2B_4_TEXT,
4,OIRB3A,1
4,OIRB3B,The user was confused by the device's response
4,OIRB3B_4_TEXT,
4,OIRB4A,4
4,OIRB4B,The user was not able to hear the device
4,OIRB4B_4_TEXT,
4,OIRB5A,2
4,OIRB5B,The user was confused by the device's response
4,OIRB5B_4_TEXT,
4,RFCA1A,1
4,RFCA2A,2
4,RFCA3A,2
4,RFCA4A,4
4,RFCA5A,2
4,RFCB1A,1
4,RFCB2A,2
4,RFCB3A,1
4,RFCB4A,2
4,RFCB5A,1
4,RFCC1A,1
4,RFCC2A,3
4,RFCC3A,5
4,RFCC4A,4
4,RFCC5A,5
4,RFCD1A,2
4,RFCD2A,2
4,RFCD3A,1
4,RFCD4A,1
4,RFCD5A,1
4,FEEDBK,I think overall interactions with smart devices like this are usually pretty good. Except for Siri. Alexa and Google Assistant almost 100% of the time does what I ask it to and provides a reasonable response.
5,DEM1,Yes
5,DEM2,25-34 years old
5,ATTN,Yes
5,EXP1,Yes
5,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
5,EXP1A_4_TEXT,NA
5,EXP2,No
5,EXP3,Yes
5,OIRA1A,5
5,OIRA1B,The user was confused by the device's response
5,OIRA1B_4_TEXT,
5,OIRA2A,4
5,OIRA2B,The user was confused by the device's response
5,OIRA2B_4_TEXT,
5,OIRA3A,5
5,OIRA3B,The user was confused by the device's response
5,OIRA3B_4_TEXT,
5,OIRA4A,4
5,OIRA4B,The user was confused by the device's response
5,OIRA4B_4_TEXT,
5,OIRA5A,4
5,OIRA5B,The user was confused by the device's response
5,OIRA5B_4_TEXT,
5,OIRB1A,5
5,OIRB1B,The user was not able to hear the device
5,OIRB1B_4_TEXT,
5,OIRB2A,4
5,OIRB2B,The user was confused by the device's response
5,OIRB2B_4_TEXT,
5,OIRB3A,4
5,OIRB3B,The user was confused by the device's response
5,OIRB3B_4_TEXT,
5,OIRB4A,4
5,OIRB4B,The user was confused by the device's response
5,OIRB4B_4_TEXT,
5,OIRB5A,4
5,OIRB5B,The user was confused by the device's response
5,OIRB5B_4_TEXT,
5,RFCA1A,4
5,RFCA2A,4
5,RFCA3A,5
5,RFCA4A,5
5,RFCA5A,5
5,RFCB1A,4
5,RFCB2A,4
5,RFCB3A,2
5,RFCB4A,4
5,RFCB5A,2
5,RFCC1A,4
5,RFCC2A,4
5,RFCC3A,4
5,RFCC4A,4
5,RFCC5A,2
5,RFCD1A,3
5,RFCD2A,2
5,RFCD3A,4
5,RFCD4A,2
5,RFCD5A,2
5,FEEDBK,
6,DEM1,Yes
6,DEM2,25-34 years old
6,ATTN,Yes
6,EXP1,Yes
6,EXP1A,Mobile phone
6,EXP1A_4_TEXT,NA
6,EXP2,No
6,EXP3,Yes
6,OIRA1A,3
6,OIRA1B,The user was not able to hear the device
6,OIRA1B_4_TEXT,
6,OIRA2A,3
6,OIRA2B,The user was not able to hear the device
6,OIRA2B_4_TEXT,
6,OIRA3A,4
6,OIRA3B,The user was confused by the device's response
6,OIRA3B_4_TEXT,
6,OIRA4A,3
6,OIRA4B,The user was not able to hear the device
6,OIRA4B_4_TEXT,
6,OIRA5A,3
6,OIRA5B,The user was not able to hear the device
6,OIRA5B_4_TEXT,
6,OIRB1A,3
6,OIRB1B,The user was not able to hear the device
6,OIRB1B_4_TEXT,
6,OIRB2A,3
6,OIRB2B,The user was confused by the device's response
6,OIRB2B_4_TEXT,
6,OIRB3A,4
6,OIRB3B,The user was confused by the device's response
6,OIRB3B_4_TEXT,
6,OIRB4A,3
6,OIRB4B,The user was not able to hear the device
6,OIRB4B_4_TEXT,
6,OIRB5A,3
6,OIRB5B,The user was not able to hear the device
6,OIRB5B_4_TEXT,
6,RFCA1A,3
6,RFCA2A,4
6,RFCA3A,5
6,RFCA4A,5
6,RFCA5A,5
6,RFCB1A,3
6,RFCB2A,3
6,RFCB3A,3
6,RFCB4A,3
6,RFCB5A,3
6,RFCC1A,2
6,RFCC2A,4
6,RFCC3A,4
6,RFCC4A,5
6,RFCC5A,4
6,RFCD1A,3
6,RFCD2A,4
6,RFCD3A,4
6,RFCD4A,4
6,RFCD5A,4
6,FEEDBK,There was no errors during this study.
7,DEM1,Yes
7,DEM2,45-54 years old
7,ATTN,Yes
7,EXP1,Yes
7,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
7,EXP1A_4_TEXT,NA
7,EXP2,No
7,EXP3,Yes
7,OIRA1A,2
7,OIRA1B,The user did not understand the device
7,OIRA1B_4_TEXT,
7,OIRA2A,3
7,OIRA2B,The user was confused by the device's response
7,OIRA2B_4_TEXT,
7,OIRA3A,3
7,OIRA3B,The user was confused by the device's response
7,OIRA3B_4_TEXT,
7,OIRA4A,2
7,OIRA4B,The user was confused by the device's response
7,OIRA4B_4_TEXT,
7,OIRA5A,3
7,OIRA5B,The user was confused by the device's response
7,OIRA5B_4_TEXT,
7,OIRB1A,3
7,OIRB1B,The user did not understand the device
7,OIRB1B_4_TEXT,
7,OIRB2A,4
7,OIRB2B,The user was not able to hear the device
7,OIRB2B_4_TEXT,
7,OIRB3A,3
7,OIRB3B,The user was confused by the device's response
7,OIRB3B_4_TEXT,
7,OIRB4A,3
7,OIRB4B,The user was not able to hear the device
7,OIRB4B_4_TEXT,
7,OIRB5A,2
7,OIRB5B,The user was confused by the device's response
7,OIRB5B_4_TEXT,
7,RFCA1A,3
7,RFCA2A,4
7,RFCA3A,4
7,RFCA4A,3
7,RFCA5A,4
7,RFCB1A,4
7,RFCB2A,3
7,RFCB3A,2
7,RFCB4A,3
7,RFCB5A,3
7,RFCC1A,3
7,RFCC2A,2
7,RFCC3A,4
7,RFCC4A,4
7,RFCC5A,3
7,RFCD1A,2
7,RFCD2A,3
7,RFCD3A,3
7,RFCD4A,2
7,RFCD5A,2
7,FEEDBK,thank you
8,DEM1,Yes
8,DEM2,25-34 years old
8,ATTN,Yes
8,EXP1,Yes
8,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
8,EXP1A_4_TEXT,NA
8,EXP2,No
8,EXP3,Yes
8,OIRA1A,4
8,OIRA1B,The user was confused by the device's response
8,OIRA1B_4_TEXT,
8,OIRA2A,4
8,OIRA2B,The user was confused by the device's response
8,OIRA2B_4_TEXT,
8,OIRA3A,4
8,OIRA3B,The user was confused by the device's response
8,OIRA3B_4_TEXT,
8,OIRA4A,5
8,OIRA4B,The user was confused by the device's response
8,OIRA4B_4_TEXT,
8,OIRA5A,2
8,OIRA5B,Other (if other, please describe):
8,OIRA5B_4_TEXT,Same as before, also did not say "what would you like to send"
8,OIRB1A,4
8,OIRB1B,The user did not understand the device
8,OIRB1B_4_TEXT,
8,OIRB2A,4
8,OIRB2B,The user did not understand the device
8,OIRB2B_4_TEXT,
8,OIRB3A,4
8,OIRB3B,Other (if other, please describe):
8,OIRB3B_4_TEXT,The device said "a" playlist not "the playlist" making user unsure if it understood 
8,OIRB4A,5
8,OIRB4B,The user did not understand the device
8,OIRB4B_4_TEXT,
8,OIRB5A,2
8,OIRB5B,Other (if other, please describe):
8,OIRB5B_4_TEXT,As before 
8,RFCA1A,5
8,RFCA2A,4
8,RFCA3A,5
8,RFCA4A,2
8,RFCA5A,5
8,RFCB1A,1
8,RFCB2A,1
8,RFCB3A,1
8,RFCB4A,1
8,RFCB5A,2
8,RFCC1A,2
8,RFCC2A,2
8,RFCC3A,2
8,RFCC4A,2
8,RFCC5A,2
8,RFCD1A,2
8,RFCD2A,3
8,RFCD3A,2
8,RFCD4A,1
8,RFCD5A,4
8,FEEDBK,No
9,DEM1,Yes
9,DEM2,18-24 years old
9,ATTN,Yes
9,EXP1,Yes
9,EXP1A,Mobile phone
9,EXP1A_4_TEXT,NA
9,EXP2,No
9,EXP3,Yes
9,OIRA1A,2
9,OIRA1B,The user was not able to hear the device
9,OIRA1B_4_TEXT,
9,OIRA2A,2
9,OIRA2B,The user did not understand the device
9,OIRA2B_4_TEXT,
9,OIRA3A,4
9,OIRA3B,The user did not understand the device
9,OIRA3B_4_TEXT,
9,OIRA4A,5
9,OIRA4B,The user was confused by the device's response
9,OIRA4B_4_TEXT,
9,OIRA5A,2
9,OIRA5B,Other (if other, please describe):
9,OIRA5B_4_TEXT,The device didn't ask what the user wanted to send as a text message.
9,OIRB1A,5
9,OIRB1B,The user was not able to hear the device
9,OIRB1B_4_TEXT,
9,OIRB2A,4
9,OIRB2B,The user was not able to hear the device
9,OIRB2B_4_TEXT,
9,OIRB3A,4
9,OIRB3B,The user was not able to hear the device
9,OIRB3B_4_TEXT,
9,OIRB4A,4
9,OIRB4B,The user was not able to hear the device
9,OIRB4B_4_TEXT,
9,OIRB5A,3
9,OIRB5B,The user did not understand the device
9,OIRB5B_4_TEXT,
9,RFCA1A,1
9,RFCA2A,1
9,RFCA3A,5
9,RFCA4A,5
9,RFCA5A,5
9,RFCB1A,1
9,RFCB2A,2
9,RFCB3A,1
9,RFCB4A,2
9,RFCB5A,1
9,RFCC1A,1
9,RFCC2A,1
9,RFCC3A,1
9,RFCC4A,2
9,RFCC5A,3
9,RFCD1A,1
9,RFCD2A,1
9,RFCD3A,1
9,RFCD4A,2
9,RFCD5A,1
9,FEEDBK,N/A
10,DEM1,Yes
10,DEM2,25-34 years old
10,ATTN,Yes
10,EXP1,Yes
10,EXP1A,Mobile phone
10,EXP1A_4_TEXT,NA
10,EXP2,No
10,EXP3,Yes
10,OIRA1A,3
10,OIRA1B,The user was confused by the device's response
10,OIRA1B_4_TEXT,
10,OIRA2A,5
10,OIRA2B,The user was not able to hear the device
10,OIRA2B_4_TEXT,
10,OIRA3A,4
10,OIRA3B,The user was confused by the device's response
10,OIRA3B_4_TEXT,
10,OIRA4A,3
10,OIRA4B,The user did not understand the device
10,OIRA4B_4_TEXT,
10,OIRA5A,4
10,OIRA5B,The user was confused by the device's response
10,OIRA5B_4_TEXT,
10,OIRB1A,5
10,OIRB1B,The user was confused by the device's response
10,OIRB1B_4_TEXT,
10,OIRB2A,4
10,OIRB2B,The user was not able to hear the device
10,OIRB2B_4_TEXT,
10,OIRB3A,4
10,OIRB3B,The user was not able to hear the device
10,OIRB3B_4_TEXT,
10,OIRB4A,2
10,OIRB4B,The user was confused by the device's response
10,OIRB4B_4_TEXT,
10,OIRB5A,3
10,OIRB5B,The user was confused by the device's response
10,OIRB5B_4_TEXT,
10,RFCA1A,4
10,RFCA2A,4
10,RFCA3A,5
10,RFCA4A,5
10,RFCA5A,5
10,RFCB1A,1
10,RFCB2A,3
10,RFCB3A,3
10,RFCB4A,2
10,RFCB5A,2
10,RFCC1A,2
10,RFCC2A,1
10,RFCC3A,5
10,RFCC4A,3
10,RFCC5A,1
10,RFCD1A,1
10,RFCD2A,5
10,RFCD3A,4
10,RFCD4A,4
10,RFCD5A,3
10,FEEDBK,
11,DEM1,Yes
11,DEM2,45-54 years old
11,ATTN,Yes
11,EXP1,Yes
11,EXP1A,Smarthub (Amazon Echo, Apple Homehub, Google Nest)
11,EXP1A_4_TEXT,NA
11,EXP2,No
11,EXP3,Yes
11,OIRA1A,4
11,OIRA1B,The user was confused by the device's response
11,OIRA1B_4_TEXT,
11,OIRA2A,4
11,OIRA2B,The user was confused by the device's response
11,OIRA2B_4_TEXT,
11,OIRA3A,4
11,OIRA3B,The user was confused by the device's response
11,OIRA3B_4_TEXT,
11,OIRA4A,4
11,OIRA4B,The user was confused by the device's response
11,OIRA4B_4_TEXT,
11,OIRA5A,4
11,OIRA5B,The user was confused by the device's response
11,OIRA5B_4_TEXT,
11,OIRB1A,4
11,OIRB1B,The user was not able to hear the device
11,OIRB1B_4_TEXT,
11,OIRB2A,4
11,OIRB2B,The user was confused by the device's response
11,OIRB2B_4_TEXT,
11,OIRB3A,4
11,OIRB3B,The user was confused by the device's response
11,OIRB3B_4_TEXT,
11,OIRB4A,4
11,OIRB4B,The user was confused by the device's response
11,OIRB4B_4_TEXT,
11,OIRB5A,4
11,OIRB5B,The user was confused by the device's response
11,OIRB5B_4_TEXT,
11,RFCA1A,5
11,RFCA2A,5
11,RFCA3A,5
11,RFCA4A,5
11,RFCA5A,5
11,RFCB1A,4
11,RFCB2A,2
11,RFCB3A,4
11,RFCB4A,2
11,RFCB5A,3
11,RFCC1A,4
